SITECODE	SITENAME	SITETYPE	flanders	wallonia	brussels
BE2400009	Hallerbos en nabije boscomplexen met brongebieden en heiden	B	TRUE	FALSE	FALSE
BE2200033	Abeek met aangrenzende moerasgebieden	B	TRUE	FALSE	FALSE
BE2300044	Bossen van het zuidoosten van de Zandleemstreek	B	TRUE	FALSE	FALSE
BE2400012	Valleien van de Winge en de Motte met valleihellingen.	B	TRUE	FALSE	FALSE
BE2200626	De Maten	A	TRUE	FALSE	FALSE
BE2200727	De Mechelse Heide en de Vallei van de Ziepbeek	A	TRUE	FALSE	FALSE
BE2200029	Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.	B	TRUE	FALSE	FALSE
BE2400010	Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.	B	TRUE	FALSE	FALSE
BE2223316	De Demervallei	A	TRUE	FALSE	FALSE
BE2301235	Durme en Middenloop van de Schelde	A	TRUE	FALSE	FALSE
BE2301336	Schorren en Polders van de Beneden-Schelde	A	TRUE	FALSE	FALSE
BE2300007	Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.	B	TRUE	FALSE	FALSE
BE2422315	De Dijlevallei	A	TRUE	FALSE	FALSE
BE2524317	Kustbroedvogels te Zeebrugge-Heist	A	TRUE	FALSE	FALSE
BE31010C0	Sources de la Dyle	C	FALSE	TRUE	FALSE
BE31003C0	Vallée de la Lasne	C	FALSE	TRUE	FALSE
BE31007C0	Vallée du Train	C	FALSE	TRUE	FALSE
BE31002C0	Vallées de l'Argentine et de la Lasne	C	FALSE	TRUE	FALSE
BE31006C0	Vallée de la Dyle à Ottignies	C	FALSE	TRUE	FALSE
BE31008C0	Carrière de Dongelberg	C	FALSE	TRUE	FALSE
BE32001C0	Vallée de la Lys	C	FALSE	TRUE	FALSE
BE32023C0	Vallée du Ruisseau d'Acoz	C	FALSE	TRUE	FALSE
BE32021C0	Haute-Sambre en aval de Thuin	C	FALSE	TRUE	FALSE
BE32026C0	Haute-Sambre en amont de Thuin	C	FALSE	TRUE	FALSE
BE32031C0	Bois de Vieux Sart et de Montbliart	C	FALSE	TRUE	FALSE
BE32038C0	Bois de Bourlers et de Baileux	C	FALSE	TRUE	FALSE
BE32041B0	Trou aux Feuilles	B	FALSE	TRUE	FALSE
BE33003C0	Montagne Saint-Pierre	C	FALSE	TRUE	FALSE
BE32035C0	La Fagne entre Bailièvre et Robechies	C	FALSE	TRUE	FALSE
