nubKey	key	dataset_scientificname	datasetKey	scientificName	kingdom	taxonomicStatus	acceptedKey	accepted
2928835	134087793	Lycium barbarum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Lycium barbarum L.	Plantae	ACCEPTED	NA	NA
2928835	128537523	Lycium barbarum L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Lycium barbarum L.	Plantae	ACCEPTED	NA	NA
2928854	139343695	Nicandra	87e99777-7f54-4209-9688-cbf7a9179ebe	Nicandra Adans.	Plantae	ACCEPTED	NA	NA
2928861	134087879	Petunia integrifolia (Hook.) Schinz & Thell.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Petunia integrifolia (Hook.) Schinz & Thell.	Plantae	ACCEPTED	NA	NA
2928892	139343699	Atropa	87e99777-7f54-4209-9688-cbf7a9179ebe	Atropa L.	Plantae	ACCEPTED	NA	NA
2928906	134087826	Petunia parviflora Juss.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Petunia parviflora Juss.	Plantae	SYNONYM	7823026	Calibrachoa parviflora (Jussieu) W.G. D'Arcy
2928907	139343696	Physalis	87e99777-7f54-4209-9688-cbf7a9179ebe	Physalis L.	Plantae	ACCEPTED	NA	NA
2928970	139343775	Verbascum	87e99777-7f54-4209-9688-cbf7a9179ebe	Verbascum L.	Plantae	ACCEPTED	NA	NA
2928976	139343698	Hyoscyamus	87e99777-7f54-4209-9688-cbf7a9179ebe	Hyoscyamus L.	Plantae	ACCEPTED	NA	NA
2928978	128537525	Hyoscyamus niger L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Hyoscyamus niger L.	Plantae	ACCEPTED	NA	NA
2928979	134087791	Hyoscyamus albus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Hyoscyamus albus L.	Plantae	ACCEPTED	NA	NA
2928997	139343701	Solanum	87e99777-7f54-4209-9688-cbf7a9179ebe	Solanum L.	Plantae	ACCEPTED	NA	NA
2929710	134087871	Solanum chenopodioides Lam.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum chenopodioides Lam.	Plantae	ACCEPTED	NA	NA
2929889	134087860	Solanum aethiopicum L. var. aculeatum Dunal	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum aethiopicum var. aculeatum Dunal	Plantae	SYNONYM	2929847	Solanum aethiopicum L.
2929892	134087872	Solanum elaeagnifolium Cav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum elaeagnifolium Cav.	Plantae	ACCEPTED	NA	NA
2930080	134087822	Solanum ptychanthum Dunal	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum ptychanthum Dunal	Plantae	ACCEPTED	NA	NA
2930137	134087866	Solanum lycopersicum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum lycopersicum L.	Plantae	ACCEPTED	NA	NA
2930248	134087868	Solanum nodiflorum Jacq. ?	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum nodiflorum Jacq.	Plantae	SYNONYM	2930222	Solanum americanum Mill.
2930262	134087831	Solanum tuberosum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum tuberosum L.	Plantae	ACCEPTED	NA	NA
2930262	128537532	Solanum tuberosum L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Solanum tuberosum L.	Plantae	ACCEPTED	NA	NA
2930805	134087874	Solanum sarachoides Sendtn.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum sarrachoides Sendtn.	Plantae	ACCEPTED	NA	NA
2930922	134087873	Solanum rostratum Dun.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum rostratum Dunal	Plantae	ACCEPTED	NA	NA
2931104	134087823	Solanum pseudocapsicum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum pseudocapsicum L.	Plantae	ACCEPTED	NA	NA
2931238	134087833	Solanum triflorum Nutt. var. ponticum (Prodan) Borza	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum triflorum var. ponticum (Prodan) Borza	Plantae	SYNONYM	2931237	Solanum triflorum Nutt.
2931738	134087824	Solanum pimpinellifolium L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum pimpinellifolium L.	Plantae	ACCEPTED	NA	NA
2931914	134087830	Solanum viarum Dun.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum viarum Dunal	Plantae	ACCEPTED	NA	NA
2932011	134087870	Solanum carolinense L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum carolinense L.	Plantae	ACCEPTED	NA	NA
2932146	134087869	Solanum physalifolium Rusby var. nitidibaccatum (Bitter) Edmonds	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum physalifolium var. nitidibaccatum (Bitter) Edmonds	Plantae	SYNONYM	2932144	Solanum physalifolium Rusby
2932184	134087825	Solanum sisymbriifolium Lam.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum sisymbriifolium Lam.	Plantae	ACCEPTED	NA	NA
2932501	134087821	Solanum pygmaeum Cav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum pygmaeum Cav.	Plantae	ACCEPTED	NA	NA
2932737	128537535	Solanum dulcamara L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Solanum dulcamara L.	Plantae	ACCEPTED	NA	NA
2932747	128537533	Solanum dulcamara var. marinum Bab.	87e99777-7f54-4209-9688-cbf7a9179ebe	Solanum dulcamara var. marinum Bab.	Plantae	SYNONYM	2932737	Solanum dulcamara L.
2932877	134087867	Solanum nigrum L. subsp. schultesii (Opiz) Wessely	9ff7d317-609b-4c08-bd86-3bc404b77c42	Solanum nigrum subsp. schultesii (Opiz) Wessely	Plantae	SYNONYM	9150405	Solanum nigrum L.
2932905	134087861	Salpiglossis sinuata Ruiz & Pav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Salpiglossis sinuata Ruiz & Pavón	Plantae	ACCEPTED	NA	NA
2932944	134087779	Capsicum annuum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Capsicum annuum L.	Plantae	ACCEPTED	NA	NA
2933951	139343782	Astragalus	87e99777-7f54-4209-9688-cbf7a9179ebe	Astragalus L.	Plantae	ACCEPTED	NA	NA
2938473	134089003	Biserrula pelecinus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Biserrula pelecinus L.	Plantae	SYNONYM	7068263	Astragalus pelecinus subsp. pelecinus
2940025	139343794	Genista	87e99777-7f54-4209-9688-cbf7a9179ebe	Genista L.	Plantae	ACCEPTED	NA	NA
2940361	139343787	Pisum	87e99777-7f54-4209-9688-cbf7a9179ebe	Pisum L.	Plantae	ACCEPTED	NA	NA
2943143	139343783	Caragana	87e99777-7f54-4209-9688-cbf7a9179ebe	Caragana Fabr.	Plantae	ACCEPTED	NA	NA
2943190	128537924	Caragana arborescens Lam.	87e99777-7f54-4209-9688-cbf7a9179ebe	Caragana arborescens Lam.	Plantae	ACCEPTED	NA	NA
2946744	139343784	Securigera	87e99777-7f54-4209-9688-cbf7a9179ebe	Securigera DC.	Plantae	ACCEPTED	NA	NA
2947311	134089001	Cicer arietinum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cicer arietinum L.	Plantae	ACCEPTED	NA	NA
2948921	134089005	Cullen americanum (L.) Rydberg	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cullen americanum (L.) Rydb.	Plantae	ACCEPTED	NA	NA
2949235	134088851	Aeschynomene americana L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Aeschynomene americana L.	Plantae	ACCEPTED	NA	NA
2949250	134088850	Aeschynomene indica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Aeschynomene indica L.	Plantae	ACCEPTED	NA	NA
2951953	139343785	Ulex	87e99777-7f54-4209-9688-cbf7a9179ebe	Ulex L.	Plantae	ACCEPTED	NA	NA
2951968	134088900	Ulex minor Roth	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ulex minor Roth	Plantae	ACCEPTED	NA	NA
2951984	128537928	Ulex europaeus L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Ulex europaeus L.	Plantae	ACCEPTED	NA	NA
2951998	134088901	Ulex gallii Planch.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Ulex gallii Planch.	Plantae	ACCEPTED	NA	NA
2952066	139343781	Robinia	87e99777-7f54-4209-9688-cbf7a9179ebe	Robinia L.	Plantae	ACCEPTED	NA	NA
2952416	139343796	Anthyllis	87e99777-7f54-4209-9688-cbf7a9179ebe	Anthyllis L.	Plantae	ACCEPTED	NA	NA
2956441	134089010	Colutea x media Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Colutea media Willd.	Plantae	ACCEPTED	NA	NA
2957408	134087211	Senna obtusifolia (L.) Irwin & Barneby	9ff7d317-609b-4c08-bd86-3bc404b77c42	Senna obtusifolia (L.) H.S.Irwin & Barneby	Plantae	ACCEPTED	NA	NA
2957966	134087212	Senna occidentalis (L.) Link	9ff7d317-609b-4c08-bd86-3bc404b77c42	Senna occidentalis (L.) Link	Plantae	ACCEPTED	NA	NA
2959124	134089012	Dorycnium hirsutum (L.) Seringe	9ff7d317-609b-4c08-bd86-3bc404b77c42	Dorycnium hirsutum (L.) Ser.	Plantae	ACCEPTED	NA	NA
2959128	134089013	Dorycnium pentaphyllum Scop.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Dorycnium pentaphyllum Scop.	Plantae	ACCEPTED	NA	NA
2959443	134087214	Gleditsia triacanthos L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Gleditsia triacanthos L.	Plantae	ACCEPTED	NA	NA
