taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2018_em_status_occupancy_pa	year_2018_em_status_occurrences_pa	year_2018_em_status_occupancy_BE	year_2018_em_status_occurrences_BE	year_2017_em_status_occupancy_pa	year_2017_em_status_occurrences_pa	year_2017_em_status_occupancy_BE	year_2017_em_status_occurrences_BE	year_2016_em_status_occupancy_pa	year_2016_em_status_occurrences_pa	year_2016_em_status_occupancy_BE	year_2016_em_status_occurrences_BE	kingdomKey	classKey
2479226	Psittacula krameri	Animalia	Aves	63	0.9559948477813852	3	3	3	1	3	3	3	1	3	3	3	1	1	212
2716226	Cyperus esculentus	Plantae	Liliopsida	63	0.9427496983241821	3	3	3	1	3	3	3	1	3	3	3	1	6	196
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	63	0.8562250249345513	3	3	3	1	3	3	3	1	3	3	3	1	6	220
3067119	Euphorbia maculata	Plantae	Magnoliopsida	63	0.734213731847737	3	3	3	1	3	3	3	1	3	3	3	1	6	220
5220136	Dama dama	Animalia	Mammalia	62.5	1.356345463410959	3	2	3	3	3	2	3	3	2	2	2	3	1	359
2479544	Agapornis fischeri	Animalia	Aves	62.5	NaN	3	3	1	2	3	3	3	3	3	3	2	2	1	212
2882443	Cabomba caroliniana	Plantae	Magnoliopsida	62	1.4377656380624992	3	3	3	3	2	3	3	3	0	3	2	3	6	220
2493660	Estrilda astrild	Animalia	Aves	62	NaN	2	2	3	2	3	3	3	2	3	3	3	2	1	212
2687885	Ginkgo biloba	Plantae	Ginkgoopsida	62	NaN	2	2	2	2	3	3	3	3	3	3	3	3	6	244
2888585	Viburnum tinus	Plantae	Magnoliopsida	62	NaN	2	3	3	3	2	3	3	3	2	3	2	2	6	220
2703041	Arundo donax	Plantae	Liliopsida	62	NaN	3	3	3	2	3	3	1	1	3	3	3	2	6	196
2495688	Streptopelia roseogrisea	Animalia	Aves	61.5	1.1170454579413136	3	3	3	3	3	3	3	3	0	0	3	3	1	212
4486365	Nysius huttoni	Animalia	Insecta	61.5	NaN	3	3	3	3	2	2	3	3	2	2	2	2	1	216
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	61.5	NaN	3	3	3	3	3	3	2	2	1	1	3	3	6	220
1311477	Vespa velutina	Animalia	Insecta	61.5	NaN	3	3	3	3	3	3	3	3	0	0	3	3	1	216
2706209	Pseudosasa japonica	Plantae	Liliopsida	61	1.361662645906996	3	0	3	3	3	2	3	3	3	2	3	3	6	196
