taxonKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
5721668,"Gyrodactylus ostendicus Huyse & Malmberg, 2004",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus ostendicus,SPECIES,"5721668: Gyrodactylus ostendicus Huyse & Malmberg, 2004"
5721678,"Gyrodactylus rugiensis Glaser, 1974",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus rugiensis,SPECIES,"5721678: Gyrodactylus rugiensis Glaser, 1974"
5721683,"Gyrodactylus branchialis Huyse, Malmberg & Volckaert, 2004",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus branchialis,SPECIES,"5721683: Gyrodactylus branchialis Huyse, Malmberg & Volckaert, 2004"
5721692,"Gyrodactylus longidactylus Geets, Malmberg & Ollevier, 1998",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus longidactylus,SPECIES,"5721692: Gyrodactylus longidactylus Geets, Malmberg & Ollevier, 1998"
5721707,"Gyrodactylus gondae Huyse, Malmberg & Volckaert, 2004",Animalia,Platyhelminthes,Gyrodactylidea,Monogenea,Gyrodactylus,Gyrodactylidae,Gyrodactylus gondae,SPECIES,"5721707: Gyrodactylus gondae Huyse, Malmberg & Volckaert, 2004"
5724100,"Trochus maculatus Linnaeus, 1758",Animalia,Mollusca,Trochida,Gastropoda,Trochus,Trochidae,Trochus maculatus,SPECIES,"5724100: Trochus maculatus Linnaeus, 1758"
5724726,"Doris pseudoargus Rapp, 1827",Animalia,Mollusca,Nudibranchia,Gastropoda,Doris,Dorididae,Doris pseudoargus,SPECIES,"2292054: Archidoris pseudoargus (Rapp, 1827)"
5724968,"Monetaria moneta (Linnaeus, 1758)",Animalia,Mollusca,Littorinimorpha,Gastropoda,Monetaria,Cypraeidae,Monetaria moneta,SPECIES,"5724968: Monetaria moneta (Linnaeus, 1758)"
5725465,"Euspira nitida (Donovan, 1804)",Animalia,Mollusca,Littorinimorpha,Gastropoda,Euspira,Naticidae,Euspira nitida,SPECIES,"2300432: Natica alderi Forbes, 1838 | 2300433: Lunatia alderi (Forbes, 1838) | 5192507: Euspira pulchella (Risso, 1826) | 5725465: Euspira nitida (Donovan, 1804)"
5725684,"Viviparus contectus (Millet, 1813)",Animalia,Mollusca,Architaenioglossa,Gastropoda,Viviparus,Viviparidae,Viviparus contectus,SPECIES,"5725684: Viviparus contectus (Millet, 1813) | 10606718: Vivipara lacustris Beck, 1847"
